survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,PassengerID
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,1
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,2
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,3
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,4
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,5
0,3,male,23.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,6
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,7
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,8
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,9
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,10
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,11
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,12
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,13
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,14
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,15
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,16
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,17
1,2,male,29.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,18
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,19
1,3,female,23.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,20
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,21
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,22
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,23
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,24
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,25
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,26
0,3,male,23.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,27
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,28
1,3,female,23.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,29
0,3,male,23.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,30
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,31
1,1,female,37.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,32
1,3,female,23.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,33
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,34
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,35
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,36
1,3,male,23.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,37
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,38
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,39
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,40
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,41
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,42
0,3,male,23.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,43
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,44
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,45
0,3,male,23.0,0,0,8.05,S,Third,man,True,Southampton,no,True,46
0,3,male,23.0,1,0,15.5,Q,Third,man,True,Queenstown,no,False,47
0,3,male,23.0,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,48
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,49
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,50
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,51
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,52
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,53
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,54
1,1,male,37.0,0,0,35.5,S,First,man,True,Southampton,yes,True,55
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,56
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,57
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,58
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,59
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,60
1,1,female,38.0,0,0,80.0,C,First,woman,False,Cherbourg,yes,True,61
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,62
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,63
0,1,male,37.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,64
1,3,male,23.0,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,65
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,66
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,67
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,68
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,69
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,70
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,71
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,72
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,73
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,74
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,75
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,76
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,77
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,78
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,79
1,3,female,23.0,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,80
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,81
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,82
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,83
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,84
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,85
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,86
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,87
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,88
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,89
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,90
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,91
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,92
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,93
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,94
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,95
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,96
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,97
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,98
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,99
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,100
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,101
1,3,male,23.0,0,0,7.775,S,Third,man,True,Southampton,yes,True,102
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,103
1,3,female,23.0,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,104
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,105
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,106
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,107
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,108
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,109
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,110
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,111
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,112
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,113
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,114
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,115
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,116
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,117
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,118
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,119
0,3,male,23.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True,120
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,121
1,3,female,23.0,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,122
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,123
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,124
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,125
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,126
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,127
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,128
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,129
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,130
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,131
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,132
0,3,female,23.0,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,133
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,134
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,135
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,136
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,137
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,138
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,139
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,140
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,141
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,142
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,143
1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,144
0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,145
0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,146
0,3,male,23.0,0,0,7.3125,S,Third,man,True,Southampton,no,True,147
0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,148
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,149
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,150
0,3,male,23.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,151
0,3,male,23.0,8,2,69.55,S,Third,man,True,Southampton,no,False,152
0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,153
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,154
0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,155
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,156
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,157
1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,158
1,1,female,37.0,0,1,55.0,S,First,woman,False,Southampton,yes,False,159
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,160
0,1,male,37.0,0,0,25.925,S,First,man,True,Southampton,no,True,161
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,162
0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,163
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,164
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,165
0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,166
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,167
0,3,male,23.0,3,1,25.4667,S,Third,man,True,Southampton,no,False,168
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,169
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,170
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,171
0,3,female,23.0,8,2,69.55,S,Third,woman,False,Southampton,no,False,172
0,2,male,29.0,0,0,15.05,C,Second,man,True,Cherbourg,no,True,173
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,174
1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,175
1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,176
0,1,male,37.0,0,0,50.0,S,First,man,True,Southampton,no,True,177
1,3,female,23.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,178
1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,179
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,180
0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,181
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,182
0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,183
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,184
1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,185
1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,186
1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,187
0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,188
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,189
0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,190
0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,191
0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,192
1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,193
0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,194
0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,195
1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,196
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,197
1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,198
0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,199
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,200
0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,201
0,3,male,23.0,1,0,7.75,Q,Third,man,True,Queenstown,no,False,202
1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,203
1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,204
0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,205
1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,206
0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,207
1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,208
0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,209
0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,210
1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False,211
0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,212
1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,213
0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,214
0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,215
0,3,female,23.0,3,1,25.4667,S,Third,woman,False,Southampton,no,False,216
1,1,female,35.0,1,0,83.475,S,First,woman,False,Southampton,yes,False,217
0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True,218
0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True,219
1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,220
0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True,221
0,3,female,23.0,0,0,7.55,S,Third,woman,False,Southampton,no,True,222
0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False,223
1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,224
0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True,225
0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True,226
0,3,female,23.0,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False,227
0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True,228
0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True,229
0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,230
0,1,male,44.0,2,0,90.0,Q,First,man,True,Queenstown,no,False,231
0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,232
1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False,233
1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False,234
0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False,235
0,3,male,23.0,0,0,7.25,S,Third,man,True,Southampton,no,True,236
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False,237
0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True,238
0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False,239
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False,240
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False,241
1,1,female,37.0,0,0,79.2,C,First,woman,False,Cherbourg,yes,True,242
1,1,female,30.0,0,0,86.5,S,First,woman,False,Southampton,yes,True,243
1,1,female,35.0,0,0,512.3292,C,First,woman,False,Cherbourg,yes,True,244
1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False,245
1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,246
0,1,male,52.0,1,1,79.65,S,First,man,True,Southampton,no,False,247
0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True,248
0,3,female,23.0,0,0,7.75,Q,Third,woman,False,Queenstown,no,True,249
0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True,250
0,3,male,16.0,4,1,39.6875,S,Third,man,True,Southampton,no,False,251
1,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,yes,False,252
1,1,female,58.0,0,1,153.4625,S,First,woman,False,Southampton,yes,False,253
1,1,female,35.0,0,0,135.6333,S,First,woman,False,Southampton,yes,True,254
0,1,male,37.0,0,0,31.0,S,First,man,True,Southampton,no,True,255
1,3,male,25.0,0,0,0.0,S,Third,man,True,Southampton,yes,True,256
1,2,female,41.0,0,1,19.5,S,Second,woman,False,Southampton,yes,False,257
0,1,male,37.0,0,1,29.7,C,First,man,True,Cherbourg,no,False,258
1,1,female,63.0,1,0,77.9583,S,First,woman,False,Southampton,yes,False,259
